2016,"Alcohol, abstainers lifetime (%)",,,abstainers 12 month,,,"Alcohol, consumers past 12 months (%)",,,"Alcohol, heavy episodic drinking (15+) past 30 days (%), age-standardized with 95%CI",,
Country, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female, Both sexes, Male, Female
Lebanon,90.1,84.9,95.3,93.9,90.8,97,6.1,9.2,3,1.3 [1-1.6],2.4 [1.8-3],0.2 [0.2-0.3]
Lesotho,70.6,58,82.8,82.2,73.9,90.1,17.8,26.1,9.9,8.5 [7.7-9.4],14.9 [13.5-16.3],2.4 [2-2.8]
Liberia,63.7,52.4,74.9,69.2,57.3,81.1,30.8,42.7,18.9,12 [10.8-13.2],20.7 [18.8-22.6],3.3 [2.8-3.8]
Libya,99.5,99.2,99.8,99.9,99.8,99.9,0.1,0.2,0.1,0 [0-0],0 [0-0],0 [0-0]
Lithuania,8.1,3.6,11.8,20.9,10.9,29.1,79.1,89.1,70.9,54.9 [49.6-59.8],73.4 [68.6-77.3],38.2 [32.2-44.2]
Luxembourg,3.4,1.6,5.3,8.2,4.2,12.3,91.8,95.8,87.7,51.2 [46-56.3],68.9 [63.6-73.6],33.2 [28-38.7]
Madagascar,67,53.8,80,79.1,70,88,20.9,30,12,8.5 [7.8-9.3],15 [13.7-16.2],2.2 [1.9-2.6]
Malawi,63.2,49.2,76.9,76.3,66.4,86.1,23.7,33.6,13.9,10.4 [9.6-11.3],18 [16.6-19.4],2.9 [2.5-3.3]
Malaysia,49.6,34.4,64.5,70.4,58.8,81.8,29.6,41.2,18.2,9.1 [8-10.3],16.1 [14.2-18],2.3 [1.9-2.7]
Maldives,85.8,78.3,93.1,92.1,87.9,96.1,7.9,12.1,3.9,0.3 [0.3-0.5],0.7 [0.5-0.9],0 [0-0.1]
Mali,73.2,63.5,82.9,78.1,68.9,87.2,21.9,31.1,12.8,6.9 [6.1-7.8],12.3 [10.9-13.7],1.6 [1.4-1.9]
Malta,17.2,8.8,25.5,37,23.8,50,63,76.2,50,25.6 [23.4-27.8],40.1 [37.1-43.1],10.4 [9.1-11.7]
Marshall Islands,.,.,.,No data,No data,No data,.,.,.,.,.,.
Mauritania,98,96.9,99.1,99.1,98.6,99.5,0.9,1.4,0.5,0 [0-0.1],0.1 [0.1-0.1],0 [0-0]
Mauritius,45.9,30.7,60.6,68.8,56.6,80.5,31.2,43.4,19.5,10.8 [9.7-11.9],18.7 [16.9-20.6],2.9 [2.5-3.4]
Mexico,23.1,12.7,33.2,57.3,43.6,70.6,42.7,56.4,29.4,18 [15.9-20.1],30.1 [27-33.2],6.2 [5.1-7.4]
Micronesia (Federated States of),64.7,51.4,78.5,84.8,78,91.9,15.2,22,8.1,9.3 [8.7-9.9],15.5 [14.6-16.3],2.9 [2.6-3.3]
Monaco,.,.,.,No data,No data,No data,.,.,.,.,.,.
Mongolia,37.3,23.1,50.9,66.4,53.7,78.5,33.6,46.3,21.5,15.7 [14.4-16.9],26.5 [24.6-28.3],5.2 [4.5-5.9]
Montenegro,22.9,12.4,32.9,46,31.8,59.6,54,68.2,40.4,26.9 [24.3-29.6],42.4 [38.8-45.8],11.4 [9.7-13.3]
Morocco,94.6,91.6,97.4,97.4,96.1,98.7,2.6,3.9,1.3,0.5 [0.3-0.6],0.9 [0.6-1.1],0.1 [0.1-0.1]
Mozambique,66.8,53.1,79.4,79,69.5,87.7,21,30.5,12.3,8.7 [7.9-9.5],15.6 [14.3-16.9],2.4 [2.1-2.7]
Myanmar,50.1,34.7,64.6,72.9,61.7,83.5,27.1,38.3,16.5,8.9 [8-9.8],15.9 [14.3-17.4],2.3 [2-2.6]
Namibia,54.3,38.9,68.4,69.7,57.6,80.9,30.3,42.4,19.1,17.1 [15.7-18.5],28.9 [26.9-30.8],6.5 [5.6-7.4]
Nauru,53.7,38.8,68.3,78,68.5,87.2,22,31.5,12.8,14.4 [13.6-15.2],23.6 [22.5-24.6],5.4 [4.8-6]
Nepal,66.9,53.1,79.1,72.9,61.6,82.9,27.1,38.4,17.1,9.8 [8.6-11.1],17.7 [15.6-19.8],2.8 [2.3-3.3]
Netherlands,12.1,5.9,18.1,27.9,16.7,38.8,72.1,83.3,61.2,31.6 [29.2-34],48 [44.9-51.1],14.9 [13.2-16.8]
New Zealand,10.6,5.1,15.8,25.4,14.9,35.2,74.6,85.1,64.8,35.2 [31.1-39.4],53.1 [47.9-58],18.3 [15.1-21.8]
Nicaragua,31.6,18.7,43.8,67.5,55.1,79.2,32.5,44.9,20.8,12.1 [10.6-13.7],21.3 [18.8-23.8],3.6 [2.9-4.3]
Niger,75.2,66.2,84.2,79.8,71.2,88.3,20.2,28.8,11.7,6.2 [5.5-7],11 [9.7-12.3],1.4 [1.2-1.7]
Nigeria,43.1,30.4,56.3,47.4,33,62.3,52.6,67,37.7,27.3 [25-29.7],43.1 [39.9-46],11.3 [9.7-13]
Niue,41.3,26.8,55.4,66.8,54.5,78.9,33.2,45.5,21.1,23.2 [22-24.3],36.2 [34.8-37.5],10.4 [9.4-11.4]
Norway,9.3,4.5,14.2,21,12,30.2,79,88,69.8,35.4 [32.1-38.7],52.2 [48.1-56.2],17.9 [15.5-20.6]
Oman,85.3,81.5,94.2,91.7,89.6,96.7,8.3,10.4,3.3,2.1 [1.7-2.6],2.9 [2.3-3.6],0.3 [0.2-0.4]
Pakistan,96.5,94.7,98.4,98.8,98.2,99.4,1.2,1.8,0.6,0.1 [0-0.1],0.1 [0.1-0.2],0 [0-0]
Palau,.,.,.,No data,No data,No data,.,.,.,.,.,.
Panama,19.5,10.4,28.5,52.3,38.5,66,47.7,61.5,34,21.5 [19.1-23.9],34.9 [31.5-38.3],8 [6.6-9.5]
Papua New Guinea,67.6,54.8,80.7,86.3,80.1,92.7,13.7,19.9,7.3,7.8 [7.3-8.4],13.2 [12.4-14],2.3 [2-2.7]
Paraguay,24.7,13.9,35.7,64,51.6,76.8,36,48.4,23.2,17.2 [14.1-20.2],28.3 [23.8-32.4],5.7 [4.2-7.5]
Peru,8.8,4.2,13.3,46.8,32.9,60.4,53.2,67.1,39.6,26.3 [21.7-30.8],41.6 [35.3-47.4],11 [8.1-14.5]
Philippines,43.1,28.6,57.7,66.9,54.7,79,33.1,45.3,21,12.1 [11-13.3],20.8 [18.9-22.7],3.4 [3-3.9]
Poland,13.5,6.5,19.9,32,19.3,43.6,68,80.7,56.4,38.9 [35.7-42],57.1 [53.4-60.5],21 [18.2-23.9]
Portugal,12.6,6,18.4,30.8,18.4,41.7,69.2,81.6,58.3,31.3 [28.8-33.8],48.6 [45.3-51.8],15.2 [13.4-17.2]
Qatar,44.9,37.5,68.2,54.4,47.9,74.8,45.6,52.1,25.2,20.5 [15.8-25.3],25.6 [19.9-31.3],4.6 [3.1-6.6]
Republic of Korea,7.1,3.3,10.8,36.1,23,48.8,63.9,77,51.2,33 [28.3-37.6],49.9 [43.9-55.3],15.7 [12.3-19.6]
Republic of Moldova,11.4,5.4,16.8,33.4,20.4,45.2,66.6,79.6,54.8,28.6 [24.7-32.7],45.1 [39.6-50.3],13 [10.4-16]
North Macedonia,23.1,12.6,33.4,46.3,32.3,60.1,53.7,67.7,39.9,26.5 [23.9-29.2],41.8 [38.2-45.2],11.1 [9.4-12.9]
Romania,13.5,6.5,19.9,32.8,19.9,44.5,67.2,80.1,55.5,39 [35.9-42.1],57.2 [53.6-60.5],21.1 [18.4-24]
Russian Federation,27.2,24,30,41.9,38.6,44.6,58.1,61.4,55.4,38.8 [15.8-54.5],49.8 [24.5-59.6],29.1 [7.6-50.4]
