Country,id,Type,Drinks
Solomon Islands,90,Sprites,3.3
Brunei,96,Sprites,0
Bulgaria,100,Sprites,42.9
Myanmar,104,Sprites,67.7
Burundi,108,Sprites,0.1
Belarus,112,Sprites,49
Cambodia,116,Sprites,11.2
Cameroon,120,Sprites,0.1
Canada,124,Sprites,25.6
Central African Republic,140,Sprites,0
Sri Lanka,144,Sprites,84.9
Chad,148,Sprites,5.3
Chile,152,Sprites,30.8
China,156,Sprites,67.2
"Taiwan, Province of China",158,Sprites,
Colombia,170,Sprites,27.2
Congo,178,Sprites,10.3
Democratic Republic of Congo,180,Sprites,0.7
Costa Rica,188,Sprites,27.9
Croatia,191,Sprites,13
Cuba,192,Sprites,57.4
Cyprus,196,Sprites,41.9
Czechia,203,Sprites,25.4
Benin,204,Sprites,13.1
Denmark,208,Sprites,17.1
Dominican Republic,214,Sprites,41.9
Ecuador,218,Sprites,17.8
El Salvador,222,Sprites,50.7
Equatorial Guinea,226,Sprites,0
Ethiopia,231,Sprites,8.3
Eritrea,232,Sprites,0.2
Estonia,233,Sprites,50.3
Falkland Islands (Malvinas),238,Sprites,
Fiji,242,Sprites,28.9
Finland,246,Sprites,21.5
France,250,Sprites,20.7
French Southern Territories,260,Sprites,
Djibouti,262,Sprites,55
Gabon,266,Sprites,13.4
Georgia,268,Sprites,38.5
Gambia,270,Sprites,0
Germany,276,Sprites,18.9
Ghana,288,Sprites,8
Greece,300,Sprites,21.8
Greenland,304,Sprites,
Guatemala,320,Sprites,41.7
Guinea,324,Sprites,0
Guyana,328,Sprites,50.8
Haiti,332,Sprites,97.3
Honduras,340,Sprites,52.1
Hungary,348,Sprites,32.3
Iceland,352,Sprites,15.5
India,356,Sprites,92.4
Indonesia,360,Sprites,4.6
Iran,364,Sprites,
Iraq,368,Sprites,25.7
Ireland,372,Sprites,18.8
Israel,376,Sprites,39.5
Italy,380,Sprites,9.8
Cote d'Ivoire,384,Sprites,0.2
Jamaica,388,Sprites,54.2
Japan,392,Sprites,40
Kazakhstan,398,Sprites,62.9
Jordan,400,Sprites,75.9
Kenya,404,Sprites,21.4
North Korea,408,Sprites,97.3
South Korea,410,Sprites,7.1
Kuwait,414,Sprites,
Kyrgyzstan,417,Sprites,86.2
Laos,418,Sprites,49.8
Lebanon,422,Sprites,49.2
Lesotho,426,Sprites,10.5
Latvia,428,Sprites,40
Liberia,430,Sprites,88.2
Libya,434,Sprites,
Lithuania,440,Sprites,37.1
Luxembourg,442,Sprites,20
Madagascar,450,Sprites,38
Malawi,454,Sprites,11.3
Malaysia,458,Sprites,17.4
Mali,466,Sprites,0
Mauritania,478,Sprites,
Mexico,484,Sprites,20.4
Mongolia,496,Sprites,54.5
Moldova,498,Sprites,25.2
Montenegro,499,Sprites,44.1
Morocco,504,Sprites,17
Mozambique,508,Sprites,12.4
Oman,512,Sprites,57
Namibia,516,Sprites,13.9
Nepal,524,Sprites,20
Netherlands,528,Sprites,16.4
New Caledonia,540,Sprites,
Vanuatu,548,Sprites,36.1
New Zealand,554,Sprites,28.9
Nicaragua,558,Sprites,59.5
Niger,562,Sprites,41.4
Nigeria,566,Sprites,0.6
Norway,578,Sprites,16.7
Pakistan,586,Sprites,
Panama,591,Sprites,19.4
Papua New Guinea,598,Sprites,2.1
Paraguay,600,Sprites,27.3
Peru,604,Sprites,31.8
Philippines,608,Sprites,72
Poland,616,Sprites,36.1
Portugal,620,Sprites,7.7
Guinea-Bissau,624,Sprites,13.7
Timor,626,Sprites,0
Puerto Rico,630,Sprites,
Qatar,634,Sprites,63.4
Romania,642,Sprites,16.4
Russia,643,Sprites,38.6
Rwanda,646,Sprites,2.7
Saudi Arabia,682,Sprites,
Senegal,686,Sprites,8.5
Serbia,688,Sprites,25.4
Sierra Leone,694,Sprites,0
Slovakia,703,Sprites,41.9
Vietnam,704,Sprites,7.7
Slovenia,705,Sprites,8
Somalia,706,Sprites,
South Africa,710,Sprites,17.8
Zimbabwe,716,Sprites,12
Spain,724,Sprites,27.8
South Sudan,728,Sprites,
Sudan,729,Sprites,
Western Sahara,732,Sprites,
Suriname,740,Sprites,48.8
Swaziland,748,Sprites,
Sweden,752,Sprites,14.1
Switzerland,756,Sprites,18.5
Syria,760,Sprites,87.2
Tajikistan,762,Sprites,60.9
Thailand,764,Sprites,68.9
Togo,768,Sprites,18.2
Trinidad and Tobago,780,Sprites,37.1
United Arab Emirates,784,Sprites,81.9
Tunisia,788,Sprites,3.8
Turkey,792,Sprites,33.8
Turkmenistan,795,Sprites,38
Uganda,800,Sprites,3.1
Ukraine,804,Sprites,51.5
North Macedonia,807,Sprites,17.4
Egypt,818,Sprites,33.1
United Kingdom,826,Sprites,22.5
Tanzania,834,Sprites,1.6
United States,840,Sprites,34.9
Burkina Faso,854,Sprites,5
Uruguay,858,Sprites,21.1
Uzbekistan,860,Sprites,56.9
Venezuela,862,Sprites,29.2
Yemen,887,Sprites,10.5
Zambia,894,Sprites,0.4
Afghanistan,4,Others,
Albania,8,Others,1.6
Antarctica,10,Others,
Algeria,12,Others,0.0
Angola,24,Others,0.8
Azerbaijan,31,Others,1.6
Argentina,32,Others,10.3
Australia,36,Others,9.7
Austria,40,Others,0.0
Bahamas,44,Others,3.0
Bangladesh,50,Others,
Armenia,51,Others,0.1
Belgium,56,Others,3.1
Bhutan,64,Others,0.0
Bolivia,68,Others,1.6
Bosnia and Herzegovina,70,Others,3.2
Botswana,72,Others,24.0
Brazil,76,Others,0.5
Belize,84,Others,2.3
Solomon Islands,90,Others,0.5
Brunei,96,Others,0
Bulgaria,100,Others,1.1
Myanmar,104,Others,0.1
Burundi,108,Others,60.5
Belarus,112,Others,26
Cambodia,116,Others,0.1
Cameroon,120,Others,55.0
Canada,124,Others,3.7
Central African Republic,140,Others,73.4
Sri Lanka,144,Others,1.6
Chad,148,Others,23.5
Chile,152,Others,0.0
China,156,Others,0.1
"Taiwan, Province of China",158,Others,
Colombia,170,Others,0.4
Congo,178,Others,0.6
Democratic Republic of Congo,180,Others,59.8
Costa Rica,188,Others,0.8
Croatia,191,Others,3.5
Cuba,192,Others,0.4
Cyprus,196,Others,0.0
Czechia,203,Others,0.0
Benin,204,Others,13.6
Denmark,208,Others,0.8
Dominican Republic,214,Others,1.5
Ecuador,218,Others,0.8
El Salvador,222,Others,0.2
Equatorial Guinea,226,Others,0
Ethiopia,231,Others,36.8
Eritrea,232,Others,37.6
Estonia,233,Others,9.6
Falkland Islands (Malvinas),238,Others,
Fiji,242,Others,0.1
Finland,246,Others,9.1
France,250,Others,1.7
French Southern Territories,260,Others,
Djibouti,262,Others,0.8
Gabon,266,Others,1.1
Georgia,268,Others,0.1
Gambia,270,Others,89.4
Germany,276,Others,0.1
Ghana,288,Others,57.1
Greece,300,Others,1.2
Greenland,304,Others,
Guatemala,320,Others,0.1
Guinea,324,Others,0
Guyana,328,Others,0.6
Haiti,332,Others,0.1
Honduras,340,Others,0.1
Hungary,348,Others,0.0
Iceland,352,Others,0.1
India,356,Others,0.0
Indonesia,360,Others,0.5
Iran,364,Others,
Iraq,368,Others,0.9
Ireland,372,Others,6.2
Israel,376,Others,1.4
Italy,380,Others,0.0
Cote d'Ivoire,384,Others,72.9
Jamaica,388,Others,4.7
Japan,392,Others,36.3
Kazakhstan,398,Others,0.1
Jordan,400,Others,1.6
Kenya,404,Others,37.0
North Korea,408,Others,0
South Korea,410,Others,68.8
Kuwait,414,Others,
Kyrgyzstan,417,Others,0.0
Laos,418,Others,0.1
Lebanon,422,Others,1.5
Lesotho,426,Others,28.9
Latvia,428,Others,6.1
Liberia,430,Others,0.6
Libya,434,Others,
Lithuania,440,Others,12.0
Luxembourg,442,Others,0
Madagascar,450,Others,0
Malawi,454,Others,79.1
Malaysia,458,Others,0.9
Mali,466,Others,83
Mauritania,478,Others,
Mexico,484,Others,0.4
Mongolia,496,Others,0.0
Moldova,498,Others,2.0
Montenegro,499,Others,2.0
Morocco,504,Others,0.3
Mozambique,508,Others,0.6
Oman,512,Others,0.4
Namibia,516,Others,15.5
Nepal,524,Others,0
Netherlands,528,Others,0.0
New Caledonia,540,Others,
Vanuatu,548,Others,0.0
New Zealand,554,Others,0.3
Nicaragua,558,Others,0.0
Niger,562,Others,-0.1
Nigeria,566,Others,91.1
Norway,578,Others,2.7
Pakistan,586,Others,
Panama,591,Others,0.2
Papua New Guinea,598,Others,0.0
Paraguay,600,Others,1.1
Peru,604,Others,0.0
Philippines,608,Others,0.3
Poland,616,Others,0.0
Portugal,620,Others,4.7
Guinea-Bissau,624,Others,41.3
Timor,626,Others,0
Puerto Rico,630,Others,
Qatar,634,Others,0.5
Romania,642,Others,-0.1
Russia,643,Others,9.6
Rwanda,646,Others,82.3
Saudi Arabia,682,Others,
Senegal,686,Others,1.0
Serbia,688,Others,0.1
Sierra Leone,694,Others,94.9
Slovakia,703,Others,3.5
Vietnam,704,Others,0.0
Slovenia,705,Others,0
Somalia,706,Others,
South Africa,710,Others,7.7
Zimbabwe,716,Others,23.9
Spain,724,Others,0
South Sudan,728,Others,
Sudan,729,Others,
Western Sahara,732,Others,
Suriname,740,Others,2.8
Swaziland,748,Others,
Sweden,752,Others,1.7
Switzerland,756,Others,1.3
Syria,760,Others,0.1
Tajikistan,762,Others,0.5
Thailand,764,Others,0.1
Togo,768,Others,28.8
Trinidad and Tobago,780,Others,1.7
United Arab Emirates,784,Others,0.3
Tunisia,788,Others,0.1
Turkey,792,Others,0.0
Turkmenistan,795,Others,0.1
Uganda,800,Others,85.8
Ukraine,804,Others,0.8
North Macedonia,807,Others,0.7
Egypt,818,Others,0.5
United Kingdom,826,Others,6.8
Tanzania,834,Others,85.8
United States,840,Others,0
Burkina Faso,854,Others,74.3
Uruguay,858,Others,0.0
Uzbekistan,860,Others,0.1
Venezuela,862,Others,1.3
Yemen,887,Others,0
Zambia,894,Others,60.5
