country,COVID cases/100k,deaths_per_100k,capital city latitude,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m
Cuba,9812.145,75.309,23.11666667,1.6,2.6,NaN,5.5,41.8,1.71,78.3,0.781,8040,NaN,NaN,29.7,17.3,42.1,53.9,40.1,67.7,46.1,1.854489164,59.9,32.3,22.2,35.7,8.3,4.2,6.6,1.3,2,5.8,9.3,2.4,14.6,18.6,6.5,0.746,0.382,0.63,0.998,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyprus,69170.444,138.062,35.16666667,3.9,11.1,34.8,0.7,37.2,1.47,80.8,0.885,32000,6.15899992,57,13.6,6.9,20.6,31.2,19.4,43.4,68.8,1.424028269,80.6,56.6,30,45.5,13.3,3.6,5.6,1.4,2,10.8,16.9,4.8,14.5,19.7,6.9,0.7085,0.1965,0.6695,0.999,0.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Czechia,42624.163,391.642,50.08333333,NaN,NaN,NaN,NaN,NaN,NaN,79.3,0.898,19700,NaN,NaN,9.3,4.4,14,24.6,14,34.6,75.4,1.314984709,86,65.4,47,65.3,28.6,6.2,9.4,2.9,3,14.5,22.3,7,18.2,25.8,8.9,0.6715,0.145,0.616,0.945,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic People's Republic of Korea,0,0,39.01666667,-1.1,25.6,NaN,NaN,34.2,1.94,NaN,NaN,NaN,NaN,NaN,58,44.4,70.8,59.7,46.3,72.3,40.3,1.938628159,53.7,27.7,13.9,23.6,4.3,3.4,5.7,0.8,3,3.8,6.3,1.5,8.3,10.9,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Republic of the Congo,105.183,1.625,4.316666667,3.4,NaN,42.1,41.5,18.8,4.54,64.7,0.478,507,NaN,NaN,45.1,30.4,59.6,63.6,50.8,76.2,36.4,2.067226891,49.2,23.8,27.1,41.3,13.4,4,6,1.8,5,2,3.2,0.8,6.7,8.4,3.2,0.5755,0.099,0.568,0.6595,0.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Denmark,57577.58,129.286,55.66666667,2.3,5.7,29,1.1,41.9,1.78,81.1,0.939,56600,7.645599842,88,10.7,5.2,16.1,25.6,15,35.8,74.4,1.323987539,85,64.2,34,51,16.9,5.6,8.6,2.6,2,10.3,15.8,4.9,13.2,18.6,6.5,0.766,0.3705,0.729,0.999,0.964,441.799265,242.80872,186.13608,673.37854,643.03949,319.61255,339.5426,9.6142054,11.214058,194.58598,260.06775
Djibouti,1588.057,19.13,11.58333333,6.7,40,40.9,0.7,24.2,2.27,66.7,0.518,3090,NaN,NaN,68.9,56.2,81.6,80.3,71.8,88.9,19.7,2.540540541,28.2,11.1,7.7,13.4,1.9,1.7,2.3,1,2,0.4,0.8,0.1,2.6,3.2,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dominica,21891.625,102.791,15.3,-4.7,23,NaN,0.6,34,2.03,NaN,NaN,NaN,NaN,NaN,30.2,17.7,42.5,54.8,41,68.3,45.2,1.861198738,59,31.7,21.9,35.5,8.3,NaN,NaN,NaN,NaN,11.2,18.1,4.6,17.2,22.2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dominican Republic,5977.704,40.413,18.46666667,4.6,5.1,47.1,3.3,27.3,2.28,72.9,0.751,8000,5.689199924,28,32.8,19.7,45.5,57,43.3,70.3,43,1.909090909,56.7,29.7,19.9,32.8,7.2,6.6,9.6,2.5,4,6.7,10.7,2.8,14.9,19.2,7,0.701,0.172,0.654,1,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ecuador,5731.049,203.706,0.216666667,2.4,4.6,45.9,0.4,28.1,2.15,76.2,0.762,5950,5.925199986,39,11.6,5.7,17.4,53.5,39.7,67.1,46.5,1.832826748,60.3,32.9,21.3,34.8,7.9,5.7,8.8,1.8,3,4.2,6.4,2,9.3,12,4.3,0.741,0.315,0.687,0.994,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
